age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native-country,class
3,Federal-gov,330901,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,2,United-States,<=50K
1,Private,285367,Assoc-voc,11,Never-married,Adm-clerical,Own-child,White,Male,2,0,1,United-States,<=50K
0,Private,195985,HS-grad,9,Never-married,Other-service,,White,Female,0,0,2,United-States,<=50K
0,Private,271935,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,2,United-States,<=50K
1,Private,206051,Some-college,10,Never-married,Adm-clerical,,White,Male,0,0,1,United-States,<=50K
3,,156877,HS-grad,9,Divorced,,,White,Male,0,0,0,United-States,<=50K
1,Private,252406,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,2,United-States,<=50K
4,Private,193479,HS-grad,9,Widowed,Adm-clerical,Unmarried,White,Female,0,0,1,United-States,<=50K
2,Private,172718,Some-college,10,Divorced,Sales,Unmarried,White,Female,0,0,2,United-States,<=50K
2,Private,218490,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,United-States,<=50K
3,Local-gov,123325,Prof-school,15,Widowed,Prof-specialty,,White,Female,0,0,2,United-States,<=50K
1,Private,173851,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
1,Private,185019,12th,8,Never-married,Other-service,,Other,Male,0,0,2,United-States,<=50K
4,Private,151874,HS-grad,9,Married-civ-spouse,Other-service,Wife,Black,Female,0,0,3,United-States,<=50K
1,Private,109917,7th-8th,4,Separated,Craft-repair,,White,Female,0,0,2,United-States,<=50K
4,,138386,HS-grad,9,Married-civ-spouse,,Husband,White,Male,1,0,1,United-States,<=50K
0,Private,92863,HS-grad,9,Divorced,Machine-op-inspct,,White,Male,0,0,2,United-States,<=50K
0,Private,493732,1st-4th,2,Never-married,Farming-fishing,Own-child,White,Female,0,0,2,Mexico,<=50K
1,State-gov,149624,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,>50K
2,Self-emp-not-inc,145246,Some-college,10,Divorced,Prof-specialty,Own-child,White,Male,0,0,2,United-States,<=50K
3,Private,145333,Doctorate,16,Divorced,Prof-specialty,Other-relative,White,Male,4,0,3,United-States,>50K
4,Private,176835,Some-college,10,Divorced,Exec-managerial,,White,Female,0,0,2,United-States,<=50K
3,Private,66385,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,2,0,2,United-States,<=50K
2,Private,126161,Doctorate,16,Never-married,Prof-specialty,,White,Male,0,0,2,United-States,<=50K
3,Self-emp-not-inc,401118,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,4,0,3,United-States,>50K
1,Private,213152,Some-college,10,Never-married,Sales,,White,Male,0,0,2,United-States,<=50K
2,State-gov,204361,Masters,14,Never-married,Exec-managerial,,White,Female,0,0,2,United-States,<=50K
1,Private,108706,11th,7,Never-married,Handlers-cleaners,Own-child,White,Female,0,0,0,United-States,<=50K
2,Private,166740,Some-college,10,Divorced,Adm-clerical,,White,Male,0,0,3,United-States,<=50K
0,Private,500509,HS-grad,9,Never-married,Other-service,Own-child,Black,Male,0,0,2,United-States,<=50K
2,Private,70282,Assoc-acdm,12,Never-married,Sales,Unmarried,Black,Female,0,0,2,United-States,<=50K
3,State-gov,122086,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,2,United-States,<=50K
0,Private,121023,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,0,United-States,<=50K
3,Private,177211,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,3,United-States,>50K
0,Private,105854,HS-grad,9,Never-married,Craft-repair,Other-relative,Other,Male,0,0,1,United-States,<=50K
2,Private,185385,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,3,United-States,>50K
0,Private,295108,HS-grad,9,Never-married,Handlers-cleaners,Unmarried,Black,Female,0,0,1,United-States,<=50K
2,Private,190543,Some-college,10,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,2,United-States,>50K
0,,184308,Some-college,10,Married-civ-spouse,,Wife,White,Female,0,0,1,United-States,<=50K
2,Private,279914,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,2,United-States,>50K
1,Private,318886,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0,0,2,United-States,<=50K
1,Private,147700,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Other,Male,0,0,2,United-States,<=50K
0,Private,308739,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,0,United-States,<=50K
2,Self-emp-not-inc,179557,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,3,2,United-States,>50K
0,Private,223367,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,2,United-States,<=50K
4,Private,253759,HS-grad,9,Never-married,Exec-managerial,,White,Male,0,0,0,United-States,<=50K
2,State-gov,48211,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,1,United-States,<=50K
0,,35633,Some-college,10,Never-married,,,White,Male,0,0,0,,<=50K
0,Private,177287,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Female,0,0,1,United-States,<=50K
2,Local-gov,323627,Some-college,10,Never-married,Exec-managerial,,White,Female,0,0,0,United-States,<=50K
0,Private,308285,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,2,United-States,<=50K
4,,143516,Masters,14,Married-civ-spouse,,Husband,White,Male,0,0,0,United-States,>50K
2,Private,123403,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,2,United-States,<=50K
3,Private,74305,Bachelors,13,Divorced,Craft-repair,,White,Male,0,0,2,United-States,<=50K
1,Private,286675,Some-college,10,Never-married,Exec-managerial,,White,Male,0,0,3,United-States,<=50K
3,Local-gov,129311,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,2,United-States,<=50K
1,Private,193380,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,0,0,2,United-States,<=50K
2,Private,168730,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,United-States,>50K
2,Private,301614,Bachelors,13,Never-married,Machine-op-inspct,Other-relative,White,Male,0,0,2,United-States,<=50K
2,Local-gov,101593,Masters,14,Never-married,Prof-specialty,,White,Male,0,2,2,United-States,<=50K
4,Private,171584,Bachelors,13,Never-married,Exec-managerial,,White,Male,0,0,2,United-States,<=50K
2,Private,369781,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,3,United-States,<=50K
2,Private,137527,Bachelors,13,Never-married,Adm-clerical,,White,Female,0,0,3,United-States,<=50K
2,Private,183319,5th-6th,3,Married-civ-spouse,Other-service,Husband,White,Male,0,0,2,El-Salvador,<=50K
0,Private,81286,HS-grad,9,Never-married,Craft-repair,,White,Male,1,0,2,United-States,<=50K
2,Private,160808,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,2,0,3,United-States,<=50K
0,Private,382199,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,2,United-States,<=50K
1,Private,321709,Assoc-acdm,12,Married-civ-spouse,Other-service,Wife,White,Female,0,0,0,United-States,>50K
3,Private,193451,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,United-States,<=50K
2,Private,115511,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,3,United-States,<=50K
3,Private,202560,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,2,United-States,>50K
1,Private,110663,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,United-States,<=50K
1,Private,267859,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,2,Cuba,>50K
2,Private,195124,7th-8th,4,Married-spouse-absent,Prof-specialty,Other-relative,White,Male,0,0,1,Puerto-Rico,<=50K
3,Private,167794,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,2,United-States,>50K
1,Private,424719,Bachelors,13,Divorced,Exec-managerial,,White,Female,0,0,2,United-States,<=50K
1,Private,27956,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,4,Philippines,<=50K
2,Private,201734,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
2,Private,200863,Some-college,10,Widowed,Craft-repair,Unmarried,White,Male,0,0,2,United-States,<=50K
2,Self-emp-inc,170871,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,4,0,3,United-States,>50K
1,Local-gov,233993,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,0,United-States,<=50K
2,Private,203943,12th,8,Married-civ-spouse,Protective-serv,Husband,Black,Male,0,0,2,,<=50K
3,Private,185846,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,2,United-States,<=50K
0,,112780,Some-college,10,Never-married,,Own-child,White,Female,0,0,1,United-States,<=50K
1,Private,376700,Bachelors,13,Never-married,Sales,Own-child,Black,Male,2,0,3,United-States,<=50K
3,Self-emp-not-inc,153484,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,3,United-States,<=50K
3,Private,272792,Bachelors,13,Divorced,Craft-repair,,Black,Female,0,0,2,United-States,<=50K
4,Self-emp-inc,76212,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,3,United-States,>50K
1,Private,175856,11th,7,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,United-States,<=50K
2,Self-emp-inc,157240,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,4,0,1,Iran,>50K
0,Private,170302,HS-grad,9,Widowed,Exec-managerial,Unmarried,White,Male,0,0,2,United-States,<=50K
1,Private,370242,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
1,State-gov,117503,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,0,Italy,<=50K
2,Private,56795,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,2,England,<=50K
1,Private,292472,Some-college,10,Never-married,Craft-repair,,Asian-Pac-Islander,Male,0,2,2,Cambodia,<=50K
2,Private,95654,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,3,Iran,>50K
4,Private,225267,Some-college,10,Divorced,Sales,,White,Male,4,0,3,United-States,>50K
2,Local-gov,126847,Masters,14,Married-spouse-absent,Prof-specialty,Unmarried,White,Female,2,0,3,United-States,>50K
1,Private,101283,Some-college,10,Never-married,Other-service,,White,Female,0,0,2,United-States,<=50K
0,Private,107882,HS-grad,9,Never-married,Prof-specialty,Own-child,White,Female,0,0,0,United-States,<=50K
2,Private,409604,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,4,0,2,United-States,>50K
2,Private,183542,Bachelors,13,Widowed,Prof-specialty,Unmarried,White,Female,0,0,1,United-States,<=50K
0,Private,208946,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,2,,<=50K
4,Private,132704,Bachelors,13,Divorced,Adm-clerical,,White,Male,1,0,2,United-States,<=50K
2,Private,449578,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,3,United-States,>50K
2,Self-emp-inc,329980,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,4,0,3,United-States,>50K
0,Private,97261,HS-grad,9,Never-married,Farming-fishing,,White,Male,0,0,2,United-States,<=50K
2,Self-emp-not-inc,177851,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,3,United-States,<=50K
2,Local-gov,159931,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,2,United-States,>50K
1,Private,38948,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,>50K
3,Private,223613,1st-4th,2,Divorced,Priv-house-serv,Unmarried,White,Female,0,0,1,Cuba,<=50K
2,Local-gov,166181,HS-grad,9,Divorced,Other-service,Own-child,Black,Female,0,0,2,United-States,<=50K
0,,223019,Some-college,10,Never-married,,Own-child,White,Female,0,0,1,United-States,<=50K
4,Private,204680,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,2,United-States,<=50K
3,Private,142061,Some-college,10,Divorced,Exec-managerial,Unmarried,White,Female,0,0,2,United-States,<=50K
2,Private,206878,HS-grad,9,Never-married,Sales,Other-relative,White,Female,0,0,0,United-States,<=50K
0,Private,119156,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,2,United-States,<=50K
0,Private,181557,Some-college,10,Never-married,Handlers-cleaners,Own-child,Black,Male,0,0,1,United-States,<=50K
1,Private,236993,Some-college,10,Never-married,Adm-clerical,Unmarried,White,Female,0,0,1,United-States,<=50K
4,Self-emp-not-inc,154537,Bachelors,13,Divorced,Other-service,,White,Female,0,0,0,United-States,<=50K
2,,246862,Bachelors,13,Widowed,,,White,Female,0,0,0,United-States,<=50K
2,Private,55720,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,>50K
2,Private,234901,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,<=50K
2,Private,137698,5th-6th,3,Married-spouse-absent,Farming-fishing,,White,Male,0,0,1,Mexico,<=50K
1,Private,118941,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,1,United-States,<=50K
2,Private,333305,Doctorate,16,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,1,United-States,<=50K
1,Local-gov,304252,Assoc-acdm,12,Divorced,Exec-managerial,,Asian-Pac-Islander,Female,0,0,2,Vietnam,<=50K
2,Self-emp-not-inc,219591,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
3,Private,215943,HS-grad,9,Divorced,Prof-specialty,Unmarried,White,Female,0,0,2,United-States,<=50K
3,Self-emp-not-inc,257940,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,United-States,<=50K
2,Private,120277,HS-grad,9,Divorced,Transport-moving,,White,Male,0,0,2,United-States,<=50K
3,Local-gov,137678,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,2,United-States,<=50K
0,State-gov,337766,Some-college,10,Never-married,Prof-specialty,Own-child,White,Male,0,0,0,United-States,<=50K
0,Private,203027,Assoc-acdm,12,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,2,United-States,<=50K
3,Private,215656,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0,0,3,United-States,<=50K
3,Private,63299,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,3,United-States,<=50K
2,Private,183902,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,0,United-States,>50K
2,Private,168837,Some-college,10,Divorced,Sales,Unmarried,White,Female,0,0,2,United-States,<=50K
3,Private,324568,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
2,Private,638116,Bachelors,13,Never-married,Adm-clerical,Own-child,Black,Female,0,0,1,United-States,<=50K
2,Self-emp-not-inc,170785,12th,8,Divorced,Craft-repair,Unmarried,White,Male,0,0,2,United-States,<=50K
3,Private,302579,HS-grad,9,Divorced,Other-service,Other-relative,Black,Female,0,0,1,United-States,<=50K
4,Private,83850,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,2,United-States,<=50K
4,Private,386120,11th,7,Married-civ-spouse,Other-service,Husband,White,Male,4,0,2,United-States,>50K
0,Private,233994,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,3,United-States,<=50K
0,Private,250037,Some-college,10,Never-married,Farming-fishing,,White,Female,0,0,3,United-States,<=50K
3,Self-emp-inc,197038,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,3,United-States,>50K
3,Private,171924,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,Canada,>50K
2,State-gov,275300,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,Mexico,<=50K
3,Self-emp-not-inc,165278,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,1,United-States,<=50K
3,Private,192964,HS-grad,9,Divorced,Sales,Unmarried,White,Female,0,0,4,United-States,<=50K
4,Self-emp-inc,51016,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,3,United-States,>50K
1,Private,46868,Masters,14,Never-married,Tech-support,,White,Female,0,0,2,United-States,<=50K
1,Private,36936,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,3,2,United-States,<=50K
1,Private,165235,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,Asian-Pac-Islander,Female,0,0,2,Philippines,>50K
3,,37672,HS-grad,9,Divorced,,,White,Female,0,0,0,United-States,<=50K
